f_MHz,P_MPa,DC_pct,region,eta,mean_gm2_day365,std_gm2_day365,mean_reduction_pct,std_reduction_pct
0.5,0.2,0.5,Frontal Cortex,0.12849052734420252,36.98478,32.583275,75.03694,21.992247
0.5,0.2,0.5,Parietal Cortex,0.12201605532339373,37.23669,32.720493,74.866905,22.084862
0.5,0.2,0.5,Thalamus,0.10998519573254198,37.731453,32.990307,74.53297,22.266973
0.5,0.2,0.5,Basal Ganglia,0.11288109882396478,37.6091,32.923546,74.61555,22.221914
0.5,0.2,0.5,Temporal Lobe,0.11585073480379371,37.485806,32.856293,74.69876,22.176523
0.5,0.2,0.5,Occipital Lobe,0.12521408427429737,37.11104,32.652035,74.95171,22.038656
0.5,0.2,0.5,Cerebellum,0.11889532382335342,37.36164,32.788597,74.78257,22.13083
0.5,0.2,0.5,Hippocampus,0.11406003629611243,37.55989,32.8967,74.648766,22.203798
0.5,0.2,1.0,Frontal Cortex,0.25698105468840504,33.5833,30.748243,77.33279,20.753685
0.5,0.2,1.0,Parietal Cortex,0.24403211064678745,33.817253,30.872915,77.17487,20.837831
0.5,0.2,1.0,Thalamus,0.21997039146508396,34.305405,31.134008,76.84539,21.014057
0.5,0.2,1.0,Basal Ganglia,0.22576219764792957,34.181156,31.067436,76.92925,20.969124
0.5,0.2,1.0,Temporal Lobe,0.23170146960758742,34.058292,31.001684,77.012184,20.924744
0.5,0.2,1.0,Occipital Lobe,0.25042816854859473,33.699333,30.810038,77.25446,20.79539
0.5,0.2,1.0,Cerebellum,0.23779064764670685,33.936954,30.936821,77.094086,20.880964
0.5,0.2,1.0,Hippocampus,0.22812007259222486,34.131836,31.041033,76.96255,20.951303
0.5,0.2,2.0,Frontal Cortex,0.5139621093768101,31.381126,29.59739,78.819145,19.97691
0.5,0.2,2.0,Parietal Cortex,0.4880642212935749,31.476282,29.645847,78.75492,20.009615
0.5,0.2,2.0,Thalamus,0.4399407829301679,31.701218,29.761055,78.603096,20.08738
0.5,0.2,2.0,Basal Ganglia,0.45152439529585914,31.640566,29.72991,78.644035,20.06635
0.5,0.2,2.0,Temporal Lobe,0.46340293921517484,31.582878,29.700336,78.682976,20.046392
0.5,0.2,2.0,Occipital Lobe,0.5008563370971895,31.427301,29.620882,78.78798,19.992765
0.5,0.2,2.0,Cerebellum,0.4755812952934137,31.528128,29.672323,78.71993,20.027487
0.5,0.2,2.0,Hippocampus,0.4562401451844497,31.617136,29.717892,78.65986,20.058243
0.5,0.35,0.5,Frontal Cortex,0.19408219225529624,34.918518,31.463524,76.43157,21.236465
0.5,0.35,0.5,Parietal Cortex,0.18651635671476544,35.116947,31.570494,76.297646,21.308662
0.5,0.35,0.5,Thalamus,0.17184043496275342,35.52907,31.79311,76.01947,21.458921
0.5,0.35,0.5,Basal Ganglia,0.17545062905398856,35.42424,31.736427,76.090225,21.420662
0.5,0.35,0.5,Temporal Lobe,0.1791005076639926,35.32057,31.680416,76.160194,21.382856
0.5,0.35,0.5,Occipital Lobe,0.190280877267972,35.017063,31.516628,76.36505,21.272308
0.5,0.35,0.5,Cerebellum,0.18278932775073167,35.218132,31.625093,76.22935,21.345518
0.5,0.35,0.5,Hippocampus,0.17690586014312765,35.38263,31.713942,76.11832,21.405487
0.5,0.35,1.0,Frontal Cortex,0.3881643845105925,32.03474,29.933321,78.378,20.203648
0.5,0.35,1.0,Parietal Cortex,0.37303271342953087,32.154934,29.995756,78.29686,20.24579
0.5,0.35,1.0,Thalamus,0.34368086992550684,32.423843,30.13604,78.115364,20.340473
0.5,0.35,1.0,Basal Ganglia,0.3509012581079771,32.35297,30.098993,78.1632,20.315468
0.5,0.35,1.0,Temporal Lobe,0.3582010153279852,32.284546,30.063274,78.20939,20.291359
0.5,0.35,1.0,Occipital Lobe,0.380561754535944,32.093678,29.963915,78.3382,20.224297
0.5,0.35,1.0,Cerebellum,0.36557865550146335,32.21854,30.028868,78.25393,20.268137
0.5,0.35,1.0,Hippocampus,0.3538117202862553,32.325306,30.084543,78.18187,20.305717
0.5,0.35,2.0,Frontal Cortex,0.776328769021185,30.953987,29.382723,79.107445,19.832018
0.5,0.35,2.0,Parietal Cortex,0.7460654268590617,30.974733,29.393003,79.093445,19.838957
0.5,0.35,2.0,Thalamus,0.6873617398510137,31.028625,29.419796,79.05707,19.857042
0.5,0.35,2.0,Basal Ganglia,0.7018025162159542,31.013418,29.41222,79.067345,19.851929
0.5,0.35,2.0,Temporal Lobe,0.7164020306559704,30.999414,29.405256,79.07678,19.847229
0.5,0.35,2.0,Occipital Lobe,0.761123509071888,30.963905,29.387632,79.10075,19.835333
0.5,0.35,2.0,Cerebellum,0.7311573110029267,30.986546,29.398865,79.08547,19.842913
0.5,0.35,2.0,Hippocampus,0.7076234405725106,31.007675,29.409365,79.07121,19.85
0.5,0.45,0.5,Frontal Cortex,0.2110900754380541,34.50478,31.240982,76.71082,21.086258
0.5,0.45,0.5,Parietal Cortex,0.2042473373844821,34.666042,31.327637,76.60198,21.144749
0.5,0.45,0.5,Thalamus,0.19085969069617034,35.001907,31.508461,76.37528,21.266794
0.5,0.45,0.5,Basal Ganglia,0.19416975085261612,34.916275,31.462317,76.43308,21.23565
0.5,0.45,0.5,Temporal Lobe,0.19750431364542473,34.831753,31.416796,76.49013,21.204927
0.5,0.45,0.5,Occipital Lobe,0.20765612671240924,34.584858,31.283998,76.65678,21.115294
0.5,0.45,0.5,Cerebellum,0.20086346332165067,34.74834,31.371902,76.54643,21.174625
0.5,0.45,0.5,Hippocampus,0.19550063212536808,34.88233,31.44403,76.455986,21.223309
0.5,0.45,1.0,Frontal Cortex,0.4221801508761082,31.803415,29.813675,78.53412,20.122892
0.5,0.45,1.0,Parietal Cortex,0.4084946747689642,31.890482,29.858625,78.47535,20.15323
0.5,0.45,1.0,Thalamus,0.3817193813923407,32.08452,29.959158,78.34439,20.221087
0.5,0.45,1.0,Basal Ganglia,0.38833950170523224,32.033413,29.93263,78.37888,20.203182
0.5,0.45,1.0,Temporal Lobe,0.39500862729084946,31.984066,29.90705,78.412186,20.185917
0.5,0.45,1.0,Occipital Lobe,0.4153122534248185,31.846159,29.835726,78.50528,20.137775
0.5,0.45,1.0,Cerebellum,0.40172692664330134,31.936441,29.882391,78.444336,20.16927
0.5,0.45,1.0,Hippocampus,0.39100126425073617,32.013466,29.922289,78.39235,20.196201
0.5,0.45,2.0,Frontal Cortex,0.8443603017522164,30.919817,29.365839,79.13051,19.820623
0.5,0.45,2.0,Parietal Cortex,0.8169893495379285,30.931791,29.371748,79.12244,19.824612
0.5,0.45,2.0,Thalamus,0.7634387627846814,30.96233,29.386852,79.101814,19.834806
0.5,0.45,2.0,Basal Ganglia,0.7766790034104645,30.95377,29.382614,79.1076,19.831945
0.5,0.45,2.0,Temporal Lobe,0.7900172545816989,30.945856,29.378696,79.11294,19.829302
0.5,0.45,2.0,Occipital Lobe,0.830624506849637,30.925564,29.368673,79.12664,19.822536
0.5,0.45,2.0,Cerebellum,0.8034538532866027,30.938541,29.375084,79.117874,19.82686
0.5,0.45,2.0,Hippocampus,0.7820025285014723,30.950527,29.38101,79.10978,19.830862
0.65,0.2,0.5,Frontal Cortex,0.12305390743674019,37.19565,32.698128,74.89461,22.069767
0.65,0.2,0.5,Parietal Cortex,0.11482701174853775,37.528065,32.87934,74.67025,22.192078
0.65,0.2,0.5,Thalamus,0.09994224365361072,38.17243,33.23109,74.23533,22.429495
0.65,0.2,0.5,Basal Ganglia,0.10347477408997295,38.01432,33.144733,74.34204,22.371202
0.65,0.2,0.5,Temporal Lobe,0.10713103970272665,37.854115,33.05726,74.45017,22.312164
0.65,0.2,0.5,Occipital Lobe,0.11887266260114954,37.362556,32.789093,74.78195,22.131166
0.65,0.2,0.5,Cerebellum,0.11091411516648507,37.691975,32.96876,74.55961,22.252434
0.65,0.2,0.5,Hippocampus,0.10492225867842578,37.95048,33.109867,74.38513,22.347673
0.65,0.2,1.0,Frontal Cortex,0.24610781487348038,33.77847,30.852224,77.20106,20.823866
0.65,0.2,1.0,Parietal Cortex,0.2296540234970755,34.100136,31.024069,76.98394,20.939854
0.65,0.2,1.0,Thalamus,0.19988448730722144,34.772472,31.384888,76.53014,21.183392
0.65,0.2,1.0,Basal Ganglia,0.2069495481799459,34.601543,31.292965,76.645515,21.121346
0.65,0.2,1.0,Temporal Lobe,0.2142620794054533,34.4323,31.202074,76.75974,21.059998
0.65,0.2,1.0,Occipital Lobe,0.23774532520229907,33.93784,30.937296,77.09348,20.881285
0.65,0.2,1.0,Cerebellum,0.22182823033297014,34.265064,31.112383,76.87262,20.999462
0.65,0.2,1.0,Hippocampus,0.20984451735685156,34.533627,31.256474,76.69135,21.096718
0.65,0.2,2.0,Frontal Cortex,0.49221562974696076,31.459944,29.637514,78.76595,20.003992
0.65,0.2,2.0,Parietal Cortex,0.459308046994151,31.602272,29.71027,78.66989,20.053099
0.65,0.2,2.0,Thalamus,0.3997689746144429,31.950111,29.889465,78.43511,20.174047
0.65,0.2,2.0,Basal Ganglia,0.4138990963598918,31.855186,29.840387,78.499176,20.140923
0.65,0.2,2.0,Temporal Lobe,0.4285241588109066,31.76557,29.79417,78.55967,20.109728
0.65,0.2,2.0,Occipital Lobe,0.47549065040459815,31.528522,29.672523,78.71966,20.02762
0.65,0.2,2.0,Cerebellum,0.4436564606659403,31.681269,29.750807,78.61656,20.080458
0.65,0.2,2.0,Hippocampus,0.4196890347137031,31.8187,29.82156,78.52381,20.128212
0.65,0.35,0.5,Frontal Cortex,0.18774403957977015,35.084118,31.552786,76.3198,21.296713
0.65,0.35,0.5,Parietal Cortex,0.177848155562902,35.35588,31.69949,76.13637,21.395731
0.65,0.35,0.5,Thalamus,0.1589083458546897,35.924103,32.006996,75.752846,21.603283
0.65,0.35,0.5,Basal Ganglia,0.16353237482509103,35.779278,31.928524,75.85059,21.55032
0.65,0.35,0.5,Temporal Lobe,0.16823153315383843,35.636204,31.851068,75.94716,21.498041
0.65,0.35,0.5,Occipital Lobe,0.1827620660308217,35.218872,31.6255,76.22884,21.34579
0.65,0.35,0.5,Cerebellum,0.17300405353930665,35.495033,31.774702,76.04245,21.446495
0.65,0.35,0.5,Hippocampus,0.16540312107475502,35.721825,31.897417,75.88937,21.529324
0.65,0.35,1.0,Frontal Cortex,0.3754880791595403,32.134636,29.985197,78.31057,20.238663
0.65,0.35,1.0,Parietal Cortex,0.355696311125804,32.307663,30.075336,78.19378,20.299501
0.65,0.35,1.0,Thalamus,0.3178166917093794,32.70611,30.284071,77.92485,20.440388
0.65,0.35,1.0,Basal Ganglia,0.32706474965018206,32.59983,30.228249,77.996574,20.40271
0.65,0.35,1.0,Temporal Lobe,0.33646306630767686,32.498016,30.174866,78.065285,20.366678
0.65,0.35,1.0,Occipital Lobe,0.3655241320616434,32.21902,30.029116,78.25361,20.268305
0.65,0.35,1.0,Cerebellum,0.3460081070786133,32.400646,30.123907,78.13101,20.332285
0.65,0.35,1.0,Hippocampus,0.33080624214951004,32.55857,30.206604,78.02443,20.3881
0.65,0.35,2.0,Frontal Cortex,0.7509761583190806,30.971087,29.391191,79.0959,19.837734
0.65,0.35,2.0,Parietal Cortex,0.711392622251608,31.004076,29.407572,79.07365,19.848791
0.65,0.35,2.0,Thalamus,0.6356333834187587,31.096375,29.453646,79.011345,19.879889
0.65,0.35,2.0,Basal Ganglia,0.6541294993003641,31.069515,29.440205,79.02947,19.870817
0.65,0.35,2.0,Temporal Lobe,0.6729261326153537,31.045313,29.428118,79.04581,19.86266
0.65,0.35,2.0,Occipital Lobe,0.7310482641232868,30.986637,29.39891,79.08541,19.842943
0.65,0.35,2.0,Cerebellum,0.6920162141572266,31.023567,29.417273,79.06048,19.855341
0.65,0.35,2.0,Hippocampus,0.6616124842990201,31.059525,29.435215,79.03621,19.867449
0.65,0.45,0.5,Frontal Cortex,0.20535996179811358,34.639355,31.313288,76.61999,21.135065
0.65,0.45,0.5,Parietal Cortex,0.19636142902350054,34.860527,31.43229,76.4707,21.215384
0.65,0.45,0.5,Thalamus,0.17888925465223224,35.326515,31.683622,76.15619,21.385021
0.65,0.45,0.5,Basal Ganglia,0.18319171810349374,35.207092,31.61914,76.23679,21.3415
0.65,0.45,0.5,Temporal Lobe,0.18753800320417718,35.08961,31.555748,76.31609,21.298712
0.65,0.45,0.5,Occipital Lobe,0.2008386757427587,34.74895,31.37223,76.54601,21.174849
0.65,0.45,0.5,Cerebellum,0.1919279169125408,34.974083,31.493462,76.394066,21.256674
0.65,0.45,0.5,Hippocampus,0.18492498795172885,35.159866,31.59365,76.26867,21.324295
0.65,0.45,1.0,Frontal Cortex,0.41071992359622717,31.875801,29.851036,78.48526,20.14811
0.65,0.45,1.0,Parietal Cortex,0.3927228580470011,32.000744,29.915693,78.40093,20.191748
0.65,0.45,1.0,Thalamus,0.3577785093044645,32.288418,30.065294,78.20677,20.292725
0.65,0.45,1.0,Basal Ganglia,0.3663834362069875,32.21153,30.025215,78.25866,20.265673
0.65,0.45,1.0,Temporal Lobe,0.37507600640835437,32.138016,29.98696,78.30828,20.23985
0.65,0.45,1.0,Occipital Lobe,0.4016773514855174,31.936785,29.882566,78.4441,20.169392
0.65,0.45,1.0,Cerebellum,0.3838558338250816,32.06779,29.95047,78.355675,20.215221
0.65,0.45,1.0,Hippocampus,0.3698499759034577,32.181725,30.009695,78.27878,20.255198
0.65,0.45,2.0,Frontal Cortex,0.8214398471924543,30.929693,29.370716,79.12384,19.823914
0.65,0.45,2.0,Parietal Cortex,0.7854457160940022,30.94849,29.380001,79.11116,19.830181
0.65,0.45,2.0,Thalamus,0.715557018608929,31.000193,29.405643,79.07626,19.84749
0.65,0.45,2.0,Basal Ganglia,0.732766872413975,30.985218,29.398205,79.086365,19.842468
0.65,0.45,2.0,Temporal Lobe,0.7501520128167087,30.97169,29.391495,79.0955,19.837936
0.65,0.45,2.0,Occipital Lobe,0.8033547029710348,30.938593,29.37511,79.117836,19.82688
0.65,0.45,2.0,Cerebellum,0.7677116676501632,30.959486,29.385445,79.10374,19.833857
0.65,0.45,2.0,Hippocampus,0.7396999518069154,30.979643,29.395433,79.09013,19.8406
1.0,0.2,0.5,Frontal Cortex,0.11079521194093561,37.697014,32.97151,74.55621,22.25429
1.0,0.2,0.5,Parietal Cortex,0.09910118138302688,38.210564,33.251923,74.20959,22.443556
1.0,0.2,0.5,Thalamus,0.07931718924584981,39.164272,33.77347,73.56587,22.795578
1.0,0.2,0.5,Basal Ganglia,0.08384561192995246,38.936092,33.648613,73.71988,22.711308
1.0,0.2,0.5,Temporal Lobe,0.08864360336694888,38.70085,33.51994,73.87866,22.624453
1.0,0.2,0.5,Occipital Lobe,0.10478715064494822,37.956413,33.11311,74.38112,22.349863
1.0,0.2,0.5,Cerebellum,0.09372438057147414,38.458874,33.38763,74.041985,22.53515
1.0,0.2,0.5,Hippocampus,0.0857317217917023,38.84283,33.59759,73.78283,22.676867
1.0,0.2,1.0,Frontal Cortex,0.22159042388187122,34.270203,31.115137,76.869156,21.001322
1.0,0.2,1.0,Parietal Cortex,0.19820236276605377,34.814278,31.40739,76.50193,21.198576
1.0,0.2,1.0,Thalamus,0.15863437849169962,35.93281,32.011715,75.746956,21.60647
1.0,0.2,1.0,Basal Ganglia,0.16769122385990493,35.652447,31.85986,75.936195,21.503975
1.0,0.2,1.0,Temporal Lobe,0.17728720673389775,35.371788,31.708082,76.12564,21.401531
1.0,0.2,1.0,Occipital Lobe,0.20957430128989643,34.539917,31.259853,76.68711,21.098997
1.0,0.2,1.0,Cerebellum,0.18744876114294828,35.09199,31.557032,76.314476,21.29958
1.0,0.2,1.0,Hippocampus,0.1714634435834046,35.540154,31.799103,76.01199,21.462965
1.0,0.2,2.0,Frontal Cortex,0.44318084776374245,31.683796,29.752104,78.61486,20.081335
1.0,0.2,2.0,Parietal Cortex,0.39640472553210754,31.973997,29.901836,78.41898,20.182396
1.0,0.2,2.0,Thalamus,0.31726875698339924,32.7126,30.287485,77.92046,20.442692
1.0,0.2,2.0,Basal Ganglia,0.33538244771980985,32.50942,30.180838,78.0576,20.370712
1.0,0.2,2.0,Temporal Lobe,0.3545744134677955,32.31814,30.080805,78.18671,20.303192
1.0,0.2,2.0,Occipital Lobe,0.41914860257979286,31.82205,29.823286,78.52154,20.129377
1.0,0.2,2.0,Cerebellum,0.37489752228589657,32.139484,29.987722,78.30729,20.240368
1.0,0.2,2.0,Hippocampus,0.3429268871668092,32.43144,30.14001,78.11024,20.343153
1.0,0.35,0.5,Frontal Cortex,0.17285540450999567,35.499367,31.777046,76.03952,21.448078
1.0,0.35,0.5,Parietal Cortex,0.15779493320356708,35.95959,32.02623,75.72889,21.616268
1.0,0.35,0.5,Thalamus,0.13011689084876926,36.92302,32.549652,75.07862,21.969553
1.0,0.35,0.5,Basal Ganglia,0.13671521849856658,36.678543,32.416634,75.24363,21.879774
1.0,0.35,0.5,Temporal Lobe,0.1435314718100899,36.43598,32.284782,75.40734,21.790777
1.0,0.35,0.5,Occipital Lobe,0.1652290865607866,35.727146,31.900297,75.88578,21.531267
1.0,0.35,0.5,Cerebellum,0.15056012585917203,36.196095,32.154514,75.56926,21.702854
1.0,0.35,0.5,Hippocampus,0.13941586024151018,36.58125,32.36373,75.309296,21.844063
1.0,0.35,1.0,Frontal Cortex,0.34571080901999135,32.403587,30.125446,78.12903,20.333323
1.0,0.35,1.0,Parietal Cortex,0.31558986640713416,32.73264,30.298023,77.90694,20.449804
