depth_mm,f_mhz,P_mpa,DC,eta,t_first_hr,n_sessions,spacing_hr,mean_gm2_day365,std_gm2_day365,reduction_pct
27.7497,0.5411,0.1532,0.00393,0.07669,45.437,3,59.311,44.4835,22.1630,66.0390
20.8562,1.0010,0.1961,0.01128,0.25707,69.250,4,54.701,40.8993,27.9149,68.7754
36.5941,0.5563,0.4276,0.01089,0.42970,15.846,1,86.561,26.0718,10.8430,80.0955
35.8619,0.4770,0.4151,0.01610,0.64535,13.210,1,78.796,33.4559,14.9693,74.4581
34.8246,0.8226,0.3060,0.00970,0.29922,85.206,5,53.419,42.2874,30.6885,67.7156
59.9708,0.6375,0.2145,0.00982,0.20421,50.571,1,95.597,31.2646,12.1517,76.1310
49.2840,0.8288,0.2896,0.01682,0.43992,4.564,2,26.631,30.8159,20.1808,76.4736
38.1448,1.0454,0.2128,0.00730,0.14491,90.891,4,67.329,40.4248,16.4589,69.1377
53.1672,1.0534,0.2362,0.01423,0.25988,40.875,4,45.796,28.9684,7.9286,77.8841
23.6698,0.8945,0.4763,0.01548,0.62018,14.774,2,26.189,81.0293,103.3585,38.1381
41.3838,0.5560,0.4825,0.01639,0.65473,18.046,3,39.082,41.3091,26.9339,68.4625
38.1645,0.4426,0.3600,0.00722,0.27472,77.811,2,56.586,35.8773,17.0565,72.6094
54.6664,0.8340,0.4014,0.01315,0.41071,77.467,2,47.565,51.1352,36.0884,60.9608
48.7640,0.5961,0.1981,0.00725,0.15472,16.076,3,7.339,30.9153,19.0367,76.3977
36.8251,0.9738,0.2498,0.00307,0.07404,37.719,1,49.171,50.6311,26.1319,61.3457
29.3771,0.8197,0.4650,0.01369,0.53515,59.619,5,78.406,60.5369,40.2371,53.7830
37.7693,0.6010,0.2657,0.01778,0.52608,2.280,1,32.588,24.1005,12.2158,81.6005
37.6983,0.7958,0.2298,0.00968,0.23255,57.235,1,38.939,45.4321,19.4957,65.3148
57.4223,0.7082,0.4018,0.01282,0.42005,73.051,4,9.692,41.5908,19.3709,68.2475
41.4754,0.5044,0.4735,0.02368,0.80792,26.353,5,58.267,44.8696,23.5704,65.7442
45.6068,0.4844,0.1928,0.02211,0.45008,73.457,2,23.752,44.7336,21.6210,65.8481
37.9664,0.9223,0.4341,0.02005,0.70375,87.267,3,9.506,34.8649,17.5191,73.3824
37.7452,0.4159,0.4140,0.01460,0.59130,95.529,5,91.897,42.2001,28.0752,67.7823
57.6811,0.5836,0.2509,0.02036,0.50536,73.396,1,86.975,66.4350,61.1569,49.2801
34.1558,0.6914,0.2932,0.01237,0.38994,69.688,3,34.952,39.3926,27.8866,69.9257
47.8261,0.8134,0.2697,0.01937,0.48745,60.008,1,91.593,51.3119,35.0132,60.8258
43.2731,1.0145,0.1589,0.01441,0.20944,83.508,1,31.317,36.4330,16.0581,72.1852
24.5298,0.6882,0.1879,0.01424,0.32809,87.397,4,51.535,37.3526,17.0917,71.4831
48.1387,0.4899,0.2875,0.02144,0.62655,9.927,5,77.761,51.7970,59.4123,60.4555
26.9714,0.4947,0.3347,0.00445,0.16787,58.698,4,29.906,55.5477,38.4123,57.5921
38.7241,0.5574,0.4493,0.01895,0.75177,35.113,1,85.718,38.6005,33.1142,70.5304
31.5717,0.9078,0.4339,0.02053,0.73944,64.752,3,41.200,39.4154,22.0543,69.9083
34.0362,0.8903,0.3554,0.02230,0.66711,43.212,4,89.877,35.5899,17.6695,72.8289
44.8877,0.4565,0.2909,0.01745,0.56814,30.182,3,42.316,46.2767,19.2769,64.6700
52.7064,0.4996,0.2098,0.01137,0.26463,88.089,4,41.594,35.1936,16.1420,73.1314
35.6951,1.0539,0.4652,0.01411,0.49676,46.962,1,70.780,37.2061,9.5187,71.5949
20.6873,0.9623,0.4883,0.01322,0.53612,83.974,4,16.107,28.7744,11.1343,78.0321
57.2987,0.4884,0.4431,0.01657,0.62786,14.747,4,23.162,37.2859,30.1198,71.5340
49.0495,0.6387,0.3434,0.01231,0.40227,68.350,3,81.295,41.4901,27.4400,68.3243
21.6188,0.9374,0.2859,0.00331,0.10501,48.144,2,56.614,38.6688,28.2244,70.4783
43.2928,0.9210,0.3219,0.02102,0.57114,3.694,4,23.928,33.9195,16.3904,74.1041
48.9817,0.7646,0.4246,0.01625,0.55893,70.238,4,63.692,40.4011,26.4815,69.1557
36.8021,0.7626,0.3473,0.00426,0.14370,5.287,3,83.291,22.0304,6.4981,83.1808
23.3049,0.5945,0.1561,0.01474,0.29569,0.817,5,90.108,24.3318,8.5062,81.4239
42.1564,0.8391,0.2441,0.00661,0.15804,12.217,5,81.349,59.9468,42.7365,54.2336
24.7956,1.0136,0.3854,0.02124,0.72434,24.642,3,14.643,31.7633,20.7153,75.7502
45.5290,0.4519,0.3982,0.01270,0.48990,75.046,4,21.734,45.1671,30.0860,65.5171
33.3162,0.5639,0.1665,0.02086,0.40482,48.996,1,73.646,52.6502,29.0895,59.8041
43.5721,0.5095,0.2465,0.00463,0.12981,91.612,1,80.281,39.7017,25.4045,69.6897
32.2188,1.0177,0.3114,0.00690,0.20561,36.472,1,31.962,35.3188,15.5198,73.0359
42.6318,0.8657,0.4500,0.00952,0.33512,9.969,2,8.054,38.4429,17.8799,70.6507
38.0293,1.0973,0.2276,0.00920,0.19023,20.124,1,86.816,49.9063,45.5708,61.8990
34.1646,0.9860,0.1771,0.01675,0.30089,6.389,3,16.143,40.3401,46.5052,69.2023
37.6231,0.5901,0.3266,0.02427,0.68853,42.971,4,50.252,29.3826,15.7111,77.5678
44.9949,0.8649,0.4569,0.02485,0.69681,51.815,4,51.226,34.6674,19.3212,73.5331
26.4002,1.0520,0.4053,0.01789,0.64734,80.773,4,63.461,42.3134,19.5446,67.6958
51.4188,0.8369,0.4917,0.01027,0.35560,72.358,2,50.421,46.6034,26.4744,64.4206
30.2608,0.5371,0.4609,0.01628,0.67372,4.796,2,86.490,30.4775,14.0028,76.7319
47.1695,0.9789,0.3235,0.01980,0.53145,7.147,5,45.220,25.5516,17.1107,80.4926
50.3214,0.8377,0.3278,0.02310,0.56797,55.015,1,90.744,35.4437,14.4638,72.9405
26.7112,0.4814,0.3431,0.02127,0.76707,32.333,2,14.976,53.6989,34.4751,59.0035
42.0420,0.8501,0.2407,0.01512,0.35528,20.551,4,23.799,50.0315,47.8823,61.8034
59.7195,0.5750,0.2745,0.01449,0.39276,67.752,1,55.211,39.5057,21.9228,69.8393
36.1846,0.5130,0.4070,0.01395,0.54929,76.841,4,23.581,43.0631,22.4178,67.1234
59.7993,0.5868,0.4247,0.01240,0.43788,22.505,5,7.375,31.8948,16.1629,75.6499
34.4909,0.9371,0.2857,0.02059,0.56237,18.828,5,92.113,27.4975,9.7527,79.0070
34.6674,0.5304,0.3500,0.01766,0.65359,71.339,2,60.422,37.7933,17.0971,71.1467
35.5932,1.0966,0.3686,0.00484,0.15131,10.908,4,14.872,39.8938,30.6002,69.5430
42.1410,0.5758,0.4890,0.02111,0.79417,76.243,1,12.803,35.9096,22.0414,72.5848
49.7958,0.4576,0.3952,0.01323,0.50083,78.617,3,7.033,44.7486,24.2245,65.8366
42.7106,0.7879,0.4832,0.00645,0.23821,19.943,2,63.854,36.4413,25.9279,72.1788
20.0450,0.9002,0.2561,0.00410,0.12247,93.732,4,91.052,36.7786,20.5395,71.9213
30.4464,0.5858,0.2490,0.00583,0.17184,63.408,2,32.967,32.6305,15.6275,75.0882
35.2954,0.9980,0.2172,0.00488,0.10427,84.346,1,77.031,43.5170,13.7675,66.7769
33.8798,1.0653,0.2547,0.00468,0.11413,46.651,5,78.492,45.1394,39.2961,65.5383
25.7951,0.5041,0.2587,0.01295,0.41367,67.446,3,52.329,66.4132,68.6989,49.2968
38.5415,0.5716,0.4894,0.00446,0.17966,74.063,5,51.685,37.5374,15.3727,71.3421
37.1088,0.4938,0.2603,0.01291,0.39368,38.464,3,23.696,30.7498,11.8715,76.5240
41.2748,0.5673,0.4171,0.01336,0.51141,55.953,3,73.435,49.7582,33.7684,62.0120
25.1746,0.5997,0.4248,0.02470,0.81656,17.072,4,22.962,45.4209,25.4355,65.3233
32.5322,1.0481,0.2287,0.00534,0.12096,20.267,1,13.300,34.5082,16.6553,73.6547
27.7859,0.7277,0.1939,0.01766,0.40374,50.949,2,86.716,38.4369,26.7261,70.6553
37.0420,0.6985,0.2211,0.01009,0.24536,46.501,4,54.080,55.0953,38.4742,57.9374
40.2996,1.0269,0.3393,0.01165,0.33863,81.740,1,72.235,39.3660,20.9669,69.9459
46.2774,0.6648,0.4347,0.00771,0.28277,73.910,1,71.292,33.2626,10.6257,74.6056
59.1296,0.8222,0.4095,0.01123,0.34556,44.332,3,79.666,33.2257,16.0546,74.6338
20.9613,1.0161,0.1502,0.00682,0.12072,38.244,3,52.827,55.3992,39.8544,57.7054
